run_id,lasso_alpha,differencing,look_back,years_data,preprocessing_time_seconds,selected_features_count,selected_features_names,used_differencing,plot_directory,model_training_time_seconds,final_val_loss,best_val_loss,epochs_trained,test_set_prediction_time_seconds,overall_mse,overall_mae,overall_rmse,overall_rmse_perc_mean,overall_mape,bias_me,bias_mpe,low_vol_mse,low_vol_mae,low_vol_rmse,mid_vol_mse,mid_vol_mae,mid_vol_rmse,high_vol_mse,high_vol_mae,high_vol_rmse,latency_single_pred_ms
alpha_0.005_diff_False_lb_60_yrs_3,0.005,False,60,3,0.16299676895141602,24,"High_^AEX, Low_^AEX, Volume_^AEX, DayOfWeek, Month, SMA_20, SMA_200, EMA_5, MACD, MACD_Diff, RSI, BB_pband, ATR, OBV, Stoch_K, Stoch_D, Williams_R, CCI, ROC, ADX, ADX_Pos, Volatility_Ret_10D, Volatility_Ret_10D_Raw, Volatility_Ret_60D",False,performance_evaluation_report/alpha_0.005_diff_False_lb_60_yrs_3,19.451992750167847,0.004383718129247427,0.001961186993867159,16,0.5510101318359375,302.5774253032258,12.232349664392606,17.39475280948901,1.926404935707477,1.3710979021139817,4.249946701694545,0.4198470018188789,65.59595618779872,6.010988023546016,8.099133051617235,187.44311907413794,11.583244105747768,13.69098678233742,763.431156530768,19.71586100260416,27.630257988856492,449.9596357345581
alpha_0.01_diff_False_lb_60_yrs_3,0.01,False,60,3,0.09634923934936523,20,"High_^AEX, Low_^AEX, Volume_^AEX, Month, SMA_20, SMA_100, SMA_200, EMA_5, MACD_Diff, RSI, BB_pband, ATR, OBV, Stoch_K, Stoch_D, Williams_R, ROC, ADX, Volatility_Ret_10D, Volatility_Ret_60D",False,performance_evaluation_report/alpha_0.01_diff_False_lb_60_yrs_3,30.74793291091919,0.001388969481922686,0.0008927429444156587,26,0.5865139961242676,331.1316227393457,13.079870089678693,18.19702235914837,2.015253339427737,1.4652878277952825,3.9668965944102137,0.39349145739237845,73.45829379527521,6.698928833007809,8.570781399340156,172.27941991213157,10.478572300502229,13.125525509941747,897.6842349585547,24.51889038085936,29.961379056354446,466.2671089172363
